node_id,_graph_id,_node_id,sum_residential_units,sum_nonresidential_units,ave_unit_sqft,ave_lot_sqft,ave_income,population,poor,hhsize,jobs,sfdu,renters
8,0,0,2.556,6.005,7.834,13.040,11.150,3.750,1.862,3.684,10.189,0.000,0.000
9,0,1,2.718,6.626,7.768,inf,11.012,3.462,2.368,3.650,11.575,0.000,0.000
10,0,2,2.460,7.223,7.787,inf,10.944,2.577,2.474,2.667,11.557,0.000,0.000
11,0,3,2.575,6.905,7.770,inf,10.899,2.032,1.892,2.750,11.110,0.000,0.000
12,0,4,2.562,6.863,7.770,inf,10.899,1.983,1.840,2.750,11.077,0.000,0.000
13,0,5,2.402,6.197,7.792,inf,11.191,1.355,0.981,2.750,11.599,0.000,0.000
14,0,6,2.662,6.825,7.910,12.516,11.167,2.045,1.672,3.286,12.462,0.000,0.000
15,0,7,2.976,6.156,7.905,12.512,10.407,3.562,3.267,4.045,10.803,0.000,0.000
20,0,8,5.367,5.461,7.522,9.568,11.198,6.048,4.449,2.096,9.379,0.000,0.000
21,0,9,5.271,6.019,7.659,9.954,11.208,5.886,4.129,2.107,9.869,0.000,0.000
22,0,10,5.279,6.049,7.680,10.018,11.223,5.891,4.130,2.096,9.896,0.000,0.000
23,0,11,5.227,6.173,7.680,10.018,11.223,5.831,4.070,2.096,10.011,0.000,0.000
24,0,12,5.148,6.094,7.716,10.114,11.246,5.746,3.981,2.102,9.929,0.000,0.000
25,0,13,3.723,5.559,7.690,10.240,10.657,4.114,3.342,1.929,9.870,0.000,0.000
26,0,14,3.791,5.639,7.690,10.240,10.657,4.187,3.418,1.929,10.061,0.000,0.000
27,0,15,3.851,5.713,7.701,10.428,10.657,4.252,3.486,1.929,10.217,0.000,0.000
28,0,16,4.041,5.792,7.646,10.346,11.151,4.494,3.630,2.151,10.368,0.000,0.000
39,0,17,3.441,4.426,7.191,10.241,11.429,4.171,2.185,2.317,4.793,0.000,0.000
51,0,18,4.658,5.770,7.395,8.413,11.601,5.485,3.508,2.896,10.975,0.000,0.000
52,0,19,5.760,4.154,7.375,7.924,11.495,6.493,4.462,2.344,9.518,0.000,0.000
53,0,20,4.807,5.846,7.456,inf,11.442,5.384,3.877,2.375,10.174,0.000,0.000
55,0,21,4.540,2.460,7.707,9.558,11.788,5.387,3.084,2.379,8.679,0.000,0.000
56,0,22,3.507,0.000,7.752,9.420,11.849,4.521,2.653,2.727,3.108,0.000,0.000
57,0,23,3.226,0.000,7.805,9.419,11.776,4.237,1.834,2.652,2.722,0.000,0.000
58,0,24,3.210,0.000,7.778,9.471,11.896,4.057,1.723,2.543,1.947,0.000,0.000
60,0,25,3.356,1.000,7.772,9.414,12.030,4.285,1.099,2.761,2.270,0.000,0.000
61,0,26,2.986,0.000,7.783,9.421,12.003,4.133,1.994,2.849,2.777,0.000,0.000
62,0,27,3.712,0.000,7.724,9.398,12.030,4.754,2.028,2.670,3.491,0.000,0.000
63,0,28,3.583,0.000,7.664,9.406,12.088,4.532,1.790,2.755,3.177,0.000,0.000
64,0,29,3.812,4.771,7.681,9.426,11.869,4.708,1.760,2.519,5.401,0.000,0.000
65,0,30,3.744,0.000,7.781,9.507,11.759,4.765,2.326,2.496,6.494,0.000,0.000
66,0,31,4.482,4.232,7.485,9.372,11.590,5.299,3.415,2.269,8.981,0.000,0.000
69,0,32,4.716,6.930,7.411,inf,11.651,5.275,3.642,2.278,9.708,0.000,0.000
70,0,33,4.206,4.017,7.413,11.237,11.176,4.767,3.289,1.926,6.713,0.000,0.000
71,0,34,5.907,5.002,7.092,9.143,11.182,6.493,4.902,2.013,7.254,0.000,0.000
72,0,35,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
73,0,36,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
74,0,37,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
75,0,38,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
76,0,39,0.646,0.000,7.950,12.856,10.880,0.701,0.318,2.500,4.343,0.000,0.000
78,0,40,0.746,0.135,7.804,13.268,12.263,1.639,0.000,3.000,1.073,0.000,0.000
85,0,41,4.272,5.775,7.439,9.280,11.219,5.586,4.392,3.644,13.431,0.000,0.000
91,0,42,1.916,5.671,7.940,12.120,10.148,2.073,2.073,3.000,9.680,0.000,0.000
92,0,43,2.621,5.895,7.957,11.636,10.776,2.662,2.132,3.400,10.231,0.000,0.000
93,0,44,3.083,6.248,7.949,11.496,10.798,3.197,1.705,3.222,10.835,0.000,0.000
